Title,Address,District,PostingDate,PostType,Price,Area,Direction,Bedrooms,Bathrooms,Floors,Width_meters,Legal,Interior,Entrancewidth,Area_m2,Entrance_width,Width,PostingYear,PostingMonth,PostingQuarter,Month_sin,Month_cos,Days_Since_Posted,Half_Year
"Cần bán nhanh căn GoldSeason 47 Nguyễn Tuân 3N 2W 100m2, 7,2 tỷ full nội thất. LH 0962 347 ***","GoldSeason, 47, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Thanh Xuân,27/11/2024,Căn hộ chung cư tại GoldSeason,8.4,100 m²,Đông - Bắc,3.0,2.0,,0,Hợp đồng mua bán,Đầy đủ,0,100.0,6.0,4.7,2024,11,4,-0.5000000000000004,0.8660254037844384,399,1
"Bán CH Thanh Xuân, Times Tower diện tích 128m2, 3 ngủ + 2 vệ sinh, nt cơ bản, giá 8,9 tỷ","Times Tower Lê Văn Lương, 35, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",Thanh Xuân,15/06/2025,Căn hộ chung cư tại Times Tower Lê Văn Lương,10.1,128 m²,Tây - Bắc,3.0,2.0,,0,Sổ đỏ/ Sổ hồng,Cơ bản,0,128.0,6.0,4.7,2025,6,2,1.2246467991473532e-16,-1.0,199,0
Bán CH 87m2 3PN 2WC giá 6.6 tỷ tòa Vinata 289 Khuất Duy Tiến,"Vinata Tower, 289, Đường Khuất Duy Tiến, Phường Trung Hòa, Cầu Giấy, Hà Nội",Cầu Giấy,03/04/2024,Căn hộ chung cư tại Vinata Tower,6.9,87 m²,0,3.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,87.0,6.0,5.0,2024,4,2,0.8660254037844387,-0.4999999999999998,637,0
Bán CH 87m2 3PN 2WC giá 6.6 tỷ tòa Vinata 289 Khuất Duy Tiến,"Vinata Tower, 289, Đường Khuất Duy Tiến, Phường Trung Hòa, Cầu Giấy, Hà Nội",Cầu Giấy,10/10/2025,Căn hộ chung cư tại Vinata Tower,8.1,87 m²,0,3.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,87.0,6.0,5.0,2025,10,4,-0.8660254037844386,0.5000000000000001,82,1
"Hot - bán gấp nhà phân lô Thái Thịnh giá rẻ 70m2 x 3T, MT 4.2m ô tô tải tránh chỉ 15.9 tỷ","Phố Thái Thịnh, Phường Thịnh Quang, Đống Đa, Hà Nội",Đống Đa,02/09/2024,Nhà riêng tại phố Thái Thịnh,17.9,70 m²,0,3.0,2.0,3.0,"4,2 m",Sổ đỏ/ Sổ hồng,0,8 m,70.0,8.0,4.2,2024,9,3,-1.0,-1.8369701987210297e-16,485,1
"Bán CH dự án Royal City, diện tích 97m2 thiết kế 2N - 2W, full nội thất, giá 8,2 tỷ","Dự án Royal City, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",Thanh Xuân,29/07/2023,Căn hộ chung cư tại Royal City,8.6,97 m²,Tây - Bắc,3.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,97.0,6.0,4.7,2023,7,3,-0.4999999999999997,-0.8660254037844388,886,1
"Bán nhà riêng tại Phú Đô, Nam Từ Liêm: 7,3 tỷ, 38 m2, 3PN + 4WC, 5 tầng","Đường Phú Đô, Phường Phú Đô, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,25/01/2025,Nhà riêng tại đường Phú Đô,8.5,38 m²,0,3.0,4.0,5.0,4 m,Sổ đỏ/ Sổ hồng,Đầy đủ,4 m,38.0,4.0,4.0,2025,1,1,0.49999999999999994,0.8660254037844387,340,0
"Cần bán nhanh căn Roman 78m2 2N 2W giá 5.2tỷ, 2N 2W, hướng mát, tòa đẹp. LH 0962 347 ***","Dự án Roman Plaza, Đường Tố Hữu, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,09/06/2025,Căn hộ chung cư tại Roman Plaza,6.0,78 m²,Tây - Bắc,2.0,2.0,,0,Sổ đỏ/ Sổ hồng,"Đầy đủ Nội thất đầy đủ bao gồm điều hòa, giường, tủ lạnh...",0,78.0,5.0,5.0,2025,6,2,1.2246467991473532e-16,-1.0,205,0
"MP giá rẻ - Bán gấp nhà MP Nguyễn Trãi đối diện Royal City, 121m2, 8 tầng thang máy chỉ 41 tỷ","Đường Nguyễn Trãi, Phường Khương Trung, Thanh Xuân, Hà Nội",Thanh Xuân,14/12/2023,Nhà mặt phố tại đường Nguyễn Trãi,42.3,121 m²,0,,,8.0,0,Sổ đỏ/sổ hồng.,0,0,121.0,6.0,4.7,2023,12,4,-2.4492935982947064e-16,1.0,748,1
"Bán CH dự án Diamond Flower, Hoàng Đạo Thuý, diện tích 173m2, 3 ngủ + 2 vệ sinh, full NT","Dự án Diamond Flower Tower, Phố Hoàng Đạo Thúy, Phường Nhân Chính, Thanh Xuân, Hà Nội",Thanh Xuân,16/08/2025,Căn hộ chung cư tại Diamond Flower Tower,14.9,173 m²,Đông - Nam,3.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,173.0,6.0,4.7,2025,8,3,-0.8660254037844385,-0.5000000000000004,137,1
"Bán nhanh 1N tòa R102, DT 41m2, ban công ĐN, giá 2,72 tỷ, nội thật cao cấp, decor cực xinh","Dự án The Zenpark, Đường Đông Dư, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội",Gia Lâm,02/10/2025,Căn hộ chung cư tại The Zenpark,3.3,41 m²,0,1.0,1.0,,0,0,Full nội thất cao cấp.,0,41.0,8.0,6.0,2025,10,4,-0.8660254037844386,0.5000000000000001,90,1
"Bán gấp nhà 8PN, 6WC tại Nguyễn Khang, 27,6 tỷ, 72,5m2, chính chủ","Đường Nguyễn Khang, Phường Trung Hòa, Cầu Giấy, Hà Nội",Cầu Giấy,14/11/2023,Nhà riêng tại đường Nguyễn Khang,27.5,"72,5 m²",Đông - Nam,8.0,6.0,,"4,5 m",Sổ đỏ/ Sổ hồng,Đầy đủ.,5 m,72.5,5.0,4.5,2023,11,4,-0.5000000000000004,0.8660254037844384,778,1
"Bán CH dự án Handi Resco 31 Lê Văn Lương, diện tích 65m2 thiết kế 2N-2W, full NT, 5,2 tỷ bao phí","Handi Resco Lê văn Lương, 31, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",Thanh Xuân,25/08/2023,Căn hộ chung cư tại Handi Resco Lê Văn Lương,5.0,65 m²,Đông - Nam,2.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,65.0,6.0,4.7,2023,8,3,-0.8660254037844385,-0.5000000000000004,859,1
"Chính chủ bán nhanh căn Home City 70m2 2N2W giá 5,5 tỷ. Full NT. LH 0962 347 ***","Dự án Home City - Trung Kính Complex, Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội",Cầu Giấy,21/09/2025,Căn hộ chung cư tại Home City Trung Kính,6.6,70 m²,Tây - Nam,2.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,70.0,6.0,5.0,2025,9,3,-1.0,-1.8369701987210297e-16,101,1
Siêu phẩm Tây Mỗ cạnh vườn Nhật - 43m2 x 5 tầng - full nội thất ở luôn - ô tô đỗ cổng - hơn 5 tỷ,"Đường Tây Mỗ, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",Nam Từ Liêm,12/12/2024,Nhà riêng tại đường Tây Mỗ,6.4,31 m²,0,3.0,4.0,5.0,6 m,Sổ đỏ/ Sổ hồng.,Đầy đủ - Nhà đẹp dân xây - full nội thất ở luôn - ô tô đỗ cổng - 3 bước ra mặt phố.,29 m,31.0,29.0,6.0,2024,12,4,-2.4492935982947064e-16,1.0,384,1
"Hot - bán gấp nhà MP Nguyễn Trãi - đối diện Royal City, KD đắc địa, 50m x 2T chỉ 17.5 tỷ","Đường Nguyễn Trãi, Phường Khương Đình, Thanh Xuân, Hà Nội",Thanh Xuân,23/07/2023,Nhà mặt phố tại đường Nguyễn Trãi,17.7,50 m²,0,,,2.0,"3,8 m",Sổ đỏ/ Sổ hồng,0,0,50.0,6.0,3.8,2023,7,3,-0.4999999999999997,-0.8660254037844388,892,1
Bán gấp liền kề mặt Nguyễn Văn Lộc 108m2*6 tầng. Căn góc đẹp nhất phố kinh doanh 10/10 chỉ 45 tỷ,"Làng Việt Kiều Châu Âu Euroland, Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội",Hà Đông,12/11/2024,"Nhà biệt thự, liền kề tại Làng Việt Kiều Châu Âu Euroland",50.7,108 m²,0,5.0,6.0,6.0,"5,5 m",Sổ đỏ/ Sổ hồng,Đầy đủ,25 m,108.0,25.0,5.5,2024,11,4,-0.5000000000000004,0.8660254037844384,414,1
Siêu phẩm mặt phố Kiến Hưng giá lợn chết 60m2 - nhỉnh 11 tỷ. Thông các ngả - ô tô tránh - cực hiếm,"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",Hà Đông,08/05/2023,Nhà mặt phố tại đường Mậu Lương,11.0,60 m²,0,,,,"3,9 m",Sổ đỏ/ Sổ hồng,Cơ bản,0,60.0,8.0,3.9,2023,5,2,0.49999999999999994,-0.8660254037844387,968,0
"Bán nhà Hồ Đắc Di, ngõ thông ô tô tránh nhau, kinh doanh sầm uất, 42m2 chỉ 11,x tỷ","Đường Hồ Đắc Di, Phường Nam Đồng, Đống Đa, Hà Nội",Đống Đa,10/09/2025,Nhà riêng tại đường Hồ Đắc Di,14.1,42 m²,0,4.0,4.0,5.0,4 m,Sổ đỏ/ Sổ hồng,Đầy đủ,6 m,42.0,6.0,4.0,2025,9,3,-1.0,-1.8369701987210297e-16,112,1
"Bán nhà Hồ Đắc Di, ngõ thông ô tô tránh nhau, kinh doanh sầm uất, 42m2 chỉ 11,x tỷ","Đường Hồ Đắc Di, Phường Nam Đồng, Đống Đa, Hà Nội",Đống Đa,22/06/2025,Nhà riêng tại đường Hồ Đắc Di,13.1,42 m²,0,4.0,4.0,5.0,4 m,Sổ đỏ/ Sổ hồng,Đầy đủ,6 m,42.0,6.0,4.0,2025,6,2,1.2246467991473532e-16,-1.0,192,0
Bán nhà Hoàng Mai 5 tầng ngần ô tô đỗ,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",Hoàng Mai,05/08/2024,Nhà riêng tại đường Hoàng Mai,5.4,35 m²,0,5.0,5.0,5.0,4 m,Sổ đỏ/ Sổ hồng,0,4 m,35.0,4.0,4.0,2024,8,3,-0.8660254037844385,-0.5000000000000004,513,1
"Bán Nhà ô tô vào tận nhà siêu hot tại Nguyễn Khang, Cầu Giấy, Hà Nội, 16 tỷ, 85m2","Đường Nguyễn Khang, Phường Trung Hòa, Cầu Giấy, Hà Nội",Cầu Giấy,21/11/2025,Nhà riêng tại đường Nguyễn Khang,19.6,85 m²,Tây - Nam,6.0,3.0,4.0,"4,3 m",Sổ đỏ/ Sổ hồng,Cơ bản,7 m,85.0,7.0,4.3,2025,11,4,-0.5000000000000004,0.8660254037844384,40,1
"Bán nhà mặt phố gần hồ Trúc Bạch, Ba Đình cổ vượng khí: Kinh doanh tiềm năng, ở sướng","Đường Quán Thánh, Phường Quán Thánh, Ba Đình, Hà Nội",Ba Đình,30/04/2024,Nhà mặt phố tại đường Quán Thánh,43.1,80 m²,0,3.0,3.0,2.0,0,Sổ đỏ/ Sổ hồng,Đầy đủ,"13,5 m",80.0,13.5,5.0,2024,4,2,0.8660254037844387,-0.4999999999999998,610,0
"1,75 tỷ sở hữu ngay lô đất nền hàng hiệu tại Hoà Lạc MT 7m. Cách công nghệ cao 500m","Xã Bình Yên, Thạch Thất, Hà Nội",Thạch Thất,04/12/2025,Bán đất tại xã Bình Yên,2.1,81 m²,0,,,,7 m,Sổ đỏ/ Sổ hồng,0,0,81.0,7.0,7.0,2025,12,4,-2.4492935982947064e-16,1.0,27,1
"Cần bán nhanh căn Mulberry 118m2, giá 6,8 tỷ, 3N 2W, sẵn sổ, full nội thất. LH 0962 347 ***","Dự án Mulberry Lane, Phường Mỗ Lao, Hà Đông, Hà Nội",Hà Đông,22/12/2024,Căn hộ chung cư tại Mulberry Lane,8.3,118 m²,Đông - Nam,3.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,118.0,8.0,5.0,2024,12,4,-2.4492935982947064e-16,1.0,374,1
"Chính chủ bán căn 2PN 2WC 55m2 giá 3.580 tỷ bao phí; thanh toán theo tiến độ tòa G2, không view mộ","Dự án Imperia Sola Park, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",Nam Từ Liêm,27/11/2024,Căn hộ chung cư tại Imperia Sola Park,3.9,55 m²,0,2.0,2.0,,0,0,- Bàn giao full nội thất. - Bàn giao full nội thất.,0,55.0,5.0,5.0,2024,11,4,-0.5000000000000004,0.8660254037844384,399,1
"Bán khu resort nghỉ dưỡng 5* Hồ Đồng Đò-Minh Trí-Sóc Sơn 10000m2 lưng tựa núi, mặt hướng hồ","Xã Minh Trí, Sóc Sơn, Hà Nội",Sóc Sơn,07/08/2023,"Trang trại, khu nghỉ dưỡng tại xã Minh Trí",104.6,10.000 m²,0,,,,0,0,0,0,10.0,5.0,5.0,2023,8,3,-0.8660254037844385,-0.5000000000000004,877,1
"Bán gấp - lô góc 3 thoáng-Phố Lụa, Vạn Phúc - Hà Đông, 5Tx35m, mt 4m, 6,x tỷ, ôtô đỗ cửa, ngõ thông","Đường Phố Lụa, Phường Vạn Phúc, Hà Đông, Hà Nội",Hà Đông,11/05/2024,Nhà riêng tại đường Phố Lụa,6.9,35 m²,0,,,5.0,4 m,Sổ đỏ/ Sổ hồng,Cơ bản,4 m,35.0,4.0,4.0,2024,5,2,0.49999999999999994,-0.8660254037844387,599,0
"Lô góc rất đẹp Vạn Phúc, Hà Đông, 42m2, 5 tầng, giá 5,8 tỷ cách 1 nhà ra ô tô","Phố Vạn Phúc, Phường Vạn Phúc, Hà Đông, Hà Nội",Hà Đông,03/08/2023,Nhà riêng tại phố Vạn Phúc,5.6,42 m²,0,4.0,4.0,5.0,4 m,Sổ đỏ/ Sổ hồng,Đầy đủ.,4 m,42.0,4.0,4.0,2023,8,3,-0.8660254037844385,-0.5000000000000004,881,1
"Tôi cần bán chung cư Unimax 210 Quang Trung căn góc 115m2, 3 ngủ, 2 vs chỉ 4. X tỷ","Unimax Twin Tower, 210, Đường Quang Trung, Phường Phúc La, Hà Đông, Hà Nội",Hà Đông,22/01/2023,Căn hộ chung cư tại Unimax Twin Tower,4.8,115 m²,0,3.0,2.0,,0,Sổ đỏ/ Sổ hồng,0,0,115.0,8.0,5.0,2023,1,1,0.49999999999999994,0.8660254037844387,1074,0
"Chính chủ cần bán căn nhà 4,5 tầng đường Cộng Hòa Ngãi Cầu An Khánh Hoài Đức Hà Nội 0986 608 ***","Đường Ngãi Cầu, Xã An Khánh, Hoài Đức, Hà Nội",Hoài Đức,27/09/2024,Nhà riêng tại đường Ngãi Cầu,4.3,30 m²,Đông - Bắc,3.0,2.0,4.0,0,Sổ đỏ/ Sổ hồng,Cơ bản,3 m,30.0,3.0,4.5,2024,9,3,-1.0,-1.8369701987210297e-16,460,1
"Chính chủ bán nhanh căn C14 Bắc Hà 3N2W giá 5,6 tỷ. Sẵn sổ, full nội thất. LH 0962 347 ***","Dự án C14 - Bộ Công An, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",Nam Từ Liêm,27/08/2024,Căn hộ chung cư tại C14 - Bộ Công An,6.0,109 m²,Tây - Bắc,3.0,2.0,,0,0,"- Nội thất đầy đủ, sẵn sàng cho người ở ngay.",0,109.0,5.0,5.0,2024,8,3,-0.8660254037844385,-0.5000000000000004,491,1
"Chính chủ bán căn 2 ngủ FLC 265 Twin Towers Cầu Giấy, dt 96m, giá 6 tỷ, sẵn sổ, đầy đủ nội thất","Bamboo Airways Tower, 265, Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",Cầu Giấy,09/03/2025,Căn hộ chung cư tại Bamboo Airways Tower,7.3,96 m²,Tây - Bắc,2.0,2.0,,0,Sổ đỏ/ Sổ hồng,0,0,96.0,6.0,5.0,2025,3,1,1.0,6.123233995736766e-17,297,0
Chính chủ bán căn 3 phòng ngủ 2WC diện tích 100m2 - ban công hướng mát - giá 6.15 tỷ đang làm sổ,"Dự án Feliz Homes, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",Hoàng Mai,17/09/2025,Căn hộ chung cư tại Feliz Homes,7.1,100 m²,Tây - Nam,3.0,2.0,,0,Sổ đỏ/ Sổ hồng.,Đầy đủ.,0,100.0,5.0,4.5,2025,9,3,-1.0,-1.8369701987210297e-16,105,1
"Bán gấp studio Pavilion 27m2, Pavilion - Vinhomes Ocean Park, còn ân hạn T7/2025","Dự án The Pavilion - Vinhomes Ocean Park, Đường Lý Thánh Tông, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,27/03/2025,Căn hộ chung cư tại The Pavilion - Vinhomes Ocean Park,2.1,27 m²,0,,,,0,Hợp đồng mua bán,0,0,27.0,8.0,6.0,2025,3,1,1.0,6.123233995736766e-17,279,0
"Bán căn hộ 2PN chung cư 99 Trần Bình chỉ nhỉnh 4 tỷ full nội thất, tầng trung đẹp","Dự án The Garden Hills - 99 Trần Bình, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,28/08/2023,Căn hộ chung cư tại The Garden Hills - 99 Trần Bình,4.0,68 m²,0,2.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,68.0,5.0,5.0,2023,8,3,-0.8660254037844385,-0.5000000000000004,856,1
"Bán gấp studio Pavilion 27m2, Pavilion - Vinhomes Ocean Park, còn ân hạn T7/2025","Dự án The Pavilion - Vinhomes Ocean Park, Đường Lý Thánh Tông, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,09/07/2025,Căn hộ chung cư tại The Pavilion - Vinhomes Ocean Park,2.2,27 m²,0,,,,0,Hợp đồng mua bán,0,0,27.0,8.0,6.0,2025,7,3,-0.4999999999999997,-0.8660254037844388,175,1
"Bán căn hộ 2PN chung cư 99 Trần Bình chỉ nhỉnh 4 tỷ full nội thất, tầng trung đẹp","Dự án The Garden Hills - 99 Trần Bình, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,09/09/2024,Căn hộ chung cư tại The Garden Hills - 99 Trần Bình,5.0,68 m²,0,2.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,68.0,5.0,5.0,2024,9,3,-1.0,-1.8369701987210297e-16,478,1
"Siêu hot, chỉ 2.X tỷ, đất đẹp, 56m2 Dương Hà, Gia Lâm, ngõ nông, sát đường lớn","Đường Hà Huy Tập, Xã Dương Hà, Gia Lâm, Hà Nội",Gia Lâm,12/12/2023,Bán đất tại đường Hà Huy Tập,3.1,56 m²,Đông - Bắc,,,,"3,5 m",Sổ đỏ/ Sổ hồng.,0,2 m,56.0,2.0,3.5,2023,12,4,-2.4492935982947064e-16,1.0,750,1
"Bán chung cư mini phố Kim Ngưu, Hai Bà Trưng, 49m2, 6 tầng, 10 phòng thu 60tr/tháng, hơn 13 tỷ","Đường Kim Ngưu, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",Hai Bà Trưng,01/07/2024,Nhà riêng tại đường Kim Ngưu,15.1,49 m²,0,10.0,10.0,6.0,0,Sổ đỏ/ Sổ hồng,0,0,49.0,4.0,5.0,2024,7,3,-0.4999999999999997,-0.8660254037844388,548,1
"Chính chủ bán căn 3 ngủ C14 Bắc Hà, DT 110m2, giá thật 5,4 tỷ, sẵn sổ, đủ nội thất, có slot ô tô","Dự án C14 - Bộ Công An, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,17/06/2024,Căn hộ chung cư tại C14 - Bộ Công An,5.8,110 m²,Tây - Bắc,3.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,110.0,5.0,5.0,2024,6,2,1.2246467991473532e-16,-1.0,562,0
"Bán căn hộ 2 phòng ngủ mới nhất toà Fantasy, full nội thất mới đẹp, nhà mới tinh, giá chỉ 4.95 tỷ","Dự án Feliz Homes, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",Hoàng Mai,30/01/2024,Căn hộ chung cư tại Feliz Homes,5.2,83 m²,Nam,2.0,2.0,,0,Hợp đồng mua bán,Đầy đủ.,0,83.0,5.0,4.5,2024,1,1,0.49999999999999994,0.8660254037844387,701,0
"Bán CC The Matrix One, 7 tỷ, 88m2, 2PN, 2WC, Tây Nam, ĐB, giá tốt","Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",Nam Từ Liêm,25/07/2024,Căn hộ chung cư tại The Matrix One,8.1,88 m²,Tây - Nam,2.0,2.0,,0,"Pháp lý đầy đủ, đảm bảo an tâm cho việc đầu tư.",Cơ bản,0,88.0,5.0,5.0,2024,7,3,-0.4999999999999997,-0.8660254037844388,524,1
"Bán gấp studio 33m2 full đồ Pavilion - vinhomes ocean park, full đồ nội thất đẹp","Dự án The Pavilion - Vinhomes Ocean Park, Đường Lý Thánh Tông, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,18/07/2025,Căn hộ chung cư tại The Pavilion - Vinhomes Ocean Park,2.3,33 m²,0,,,,0,Hợp đồng mua bán,Đầy đủ,0,33.0,8.0,6.0,2025,7,3,-0.4999999999999997,-0.8660254037844388,166,1
Chính chủ bán căn 3PN - DT 116m2 - Full NT - Giá tốt - Tòa N04 Trần Duy Hưng! LH: 0961 846 ***,"Dự án N04 Trần Duy Hưng, Phố Hoàng Đạo Thúy, Phường Trung Hòa, Cầu Giấy, Hà Nội",Cầu Giấy,28/12/2023,Căn hộ chung cư tại N04 - KĐT Đông Nam Trần Duy Hưng,11.1,116 m²,Đông,3.0,2.0,,0,0,Full NT xịn xò.,0,116.0,6.0,5.0,2023,12,4,-2.4492935982947064e-16,1.0,734,1
"Bán căn hộ góc 3PN, 110m2 tại Times City - Park Hill, 9,5 tỷ, Hai Bà Trưng, Hà Nội","Vinhomes Times City - Park Hill, Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Hai Bà Trưng,15/08/2023,Căn hộ chung cư tại Vinhomes Times City - Park Hill,9.9,110 m²,Bắc,3.0,2.0,,0,Sổ đỏ/ Sổ hồng,0,0,110.0,4.0,5.0,2023,8,3,-0.8660254037844385,-0.5000000000000004,869,1
Chính chủ em còn duy nhất 1 lô đất tại Thường Tín giá chỉ 1tỷ200tr,"Xã Chương Dương, Thường Tín, Hà Nội",Thường Tín,25/02/2025,Bán đất tại xã Chương Dương,1.4,"42,4 m²",Đông - Nam,,,,"5,2 m",Sổ đỏ/ Sổ hồng,0,0,42.4,12.0,5.2,2025,2,1,0.8660254037844386,0.5000000000000001,309,0
Bán biệt thự đơn lập góc giá tốt nhất tại San Hô 224m2 chỉ 4x tỷ Vinhomes Ocean Pack Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,16/07/2025,"Nhà biệt thự, liền kề tại Vinhomes Ocean Park Gia Lâm",55.1,224 m²,Tây - Bắc,,,,0,Sổ đỏ/ Sổ hồng,0,0,224.0,8.0,6.0,2025,7,3,-0.4999999999999997,-0.8660254037844388,168,1
"Chủ nhà gửi bán căn góc 3 ngủ HH2 Bắc Hà, DT 133m2, giá 5,2 tỷ, sẳn sổ, đầy đủ nội thất","Dự án HH2 Bắc Hà, Phường Trung Văn, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,27/05/2023,Căn hộ chung cư tại HH2 - Bắc Hà,5.3,133 m²,Đông - Bắc,3.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,133.0,5.0,5.0,2023,5,2,0.49999999999999994,-0.8660254037844387,949,0
Chính chủ bán căn 3PN - DT 138m2 - Full NT - Giá tốt - Toà Bohemia Residence! LH: 0961 846 ***,"Dự án Bohemia Residence, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Thanh Xuân,15/10/2023,Căn hộ chung cư tại Bohemia Residence,8.7,138 m²,Tây - Bắc,3.0,2.0,,0,0,Full NT,0,138.0,6.0,4.7,2023,10,4,-0.8660254037844386,0.5000000000000001,808,1
Phân lô ô tô tránh - full nội thất - mới đẹp 43m2 x 5 tầng - ngõ 366 Ngọc Thụy - giá 7.8 tỷ,"Ngõ 366, Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",Long Biên,13/07/2023,Nhà riêng tại đường Ngọc Thụy,8.1,43 m²,0,6.0,5.0,5.0,"3,5 m",Sổ đỏ/ Sổ hồng,Đầy đủ,6 m,43.0,6.0,3.5,2023,7,3,-0.4999999999999997,-0.8660254037844388,902,1
"Nhà em, chính chủ cần bán căn 2PN (77m2) & 3PN (91,99,106,116m2) ở The Nine, số 9 PVĐ. Giá bán 7 tỷ","The Nine, số 9, Đường Phạm Văn Đồng, Phường Mai Dịch, Cầu Giấy, Hà Nội",Cầu Giấy,13/01/2024,Căn hộ chung cư tại Chung cư The Nine,7.7,77 m²,Bắc,2.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,77.0,6.0,5.0,2024,1,1,0.49999999999999994,0.8660254037844387,718,0
"Ở sướng - đón tết - liền kề Kiến Hưng, Hà Đông - ô tô vào nhà - an sinh đỉnh cao - 50m2","Dự án Kiến Hưng, Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",Hà Đông,18/04/2025,"Nhà biệt thự, liền kề tại Khu đô thị Kiến Hưng",15.1,50 m²,0,3.0,,4.0,0,0,0,0,50.0,8.0,5.0,2025,4,2,0.8660254037844387,-0.4999999999999998,257,0
"Ở sướng - đón tết - liền kề Kiến Hưng, Hà Đông - ô tô vào nhà - an sinh đỉnh cao - 50m2","Dự án Kiến Hưng, Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",Hà Đông,09/12/2024,"Nhà biệt thự, liền kề tại Khu đô thị Kiến Hưng",13.5,50 m²,0,3.0,,4.0,0,0,0,0,50.0,8.0,5.0,2024,12,4,-2.4492935982947064e-16,1.0,387,1
Mới đẹp - gara - thang máy - Ngõ 1 Huỳnh Tấn Phát - 50m2 x 6 tầng - giá 9.6 tỷ,"Ngõ 1, Đường Huỳnh Tấn Phát, Phường Long Biên, Long Biên, Hà Nội",Long Biên,16/11/2024,Nhà riêng tại đường Huỳnh Tấn Phát,11.1,50 m²,Nam,4.0,5.0,6.0,4 m,Sổ đỏ/ Sổ hồng,Đầy đủ.,0,50.0,6.0,4.0,2024,11,4,-0.5000000000000004,0.8660254037844384,410,1
"Bán nhà Xuân Phương, ô tô tránh, 105m2 7T thang máy, PCCC đầy đủ, full đồ, 28 căn hộ KK cho thuê","Đường Xuân Phương, Phường Phương Canh, Nam Từ Liêm, Hà Nội.",Nam Từ Liêm,21/01/2024,Nhà riêng tại đường Xuân Phương,22.4,105 m²,0,28.0,29.0,7.0,0,Sổ đỏ/ Sổ hồng.,Đầy đủ.,5 m,105.0,5.0,5.0,2024,1,1,0.49999999999999994,0.8660254037844387,710,0
